county_name,season,wind_mean,wind_max,wind_min
Alameda,Winter,7.9594421290611495,14.156792359475896,2.864700135793017
Alameda,Spring,9.507891278375148,15.405698924731183,4.353906810035842
Alameda,Summer,10.113691756272402,14.657610513739545,6.386600955794504
Alameda,Fall,7.628124253285544,13.010382317801673,3.1346594982078853
Alpine,Winter,11.547299950080818,18.368054632612473,5.2707971379133784
Alpine,Spring,11.551959378733573,17.81814814814815,5.3418876941457585
Alpine,Summer,10.132616487455197,16.964528076463562,3.888094384707288
Alpine,Fall,10.469432497013141,17.179725209080047,4.446278375149343
Amador,Winter,8.547090542321355,14.485869259895956,2.8879011391525298
Amador,Spring,8.704802867383513,14.068142174432497,2.778584229390681
Amador,Summer,7.980961768219832,12.786057347670251,2.224635603345281
Amador,Fall,7.834366786140979,12.891678614097968,2.4561290322580644
Butte,Winter,9.129428702245722,15.747680744357606,3.3530304635421433
Butte,Spring,10.760985663082437,17.617180406212665,4.253984468339308
Butte,Summer,9.032275985663084,15.646541218637992,2.9292712066905615
Butte,Fall,8.465149342891278,14.48057347670251,2.871600955794504
Calaveras,Winter,8.177969047699303,13.823336033945045,2.9120781548200902
Calaveras,Spring,8.643464755077657,13.955728793309438,2.858626045400239
Calaveras,Summer,8.173817204301075,12.757962962962964,2.5804181600955793
Calaveras,Fall,7.811845878136201,12.803452807646357,2.5540023894862602
Colusa,Winter,8.950378286279287,15.411003126770645,3.1268290926105164
Colusa,Spring,9.965645161290322,17.92186379928315,3.2588351254480283
Colusa,Summer,8.199922341696535,16.807479091995223,1.9089486260454
Colusa,Fall,7.943428912783751,14.563602150537633,2.4731780167264037
Contra Costa,Winter,8.039882136155773,13.435816571884425,3.3952653421229617
Contra Costa,Spring,11.582281959378735,17.20111111111111,6.317508960573477
Contra Costa,Summer,13.415065710872163,18.080352449223415,8.455770609318996
Contra Costa,Fall,8.80899641577061,13.767138590203107,4.322108721624851
Del Norte,Winter,11.824992415815553,19.900929403682465,4.904814492453536
Del Norte,Spring,11.470591397849462,18.947329749103943,4.309151732377539
Del Norte,Summer,7.8405555555555555,13.810979689366786,2.263309438470729
Del Norte,Fall,9.003978494623656,15.527873357228195,3.196989247311828
El Dorado,Winter,9.125672986017813,15.530090211666966,2.7794678470707392
El Dorado,Spring,9.043966547192353,14.626403823178016,2.809283154121864
El Dorado,Summer,8.072150537634409,12.634169653524491,2.2710573476702507
El Dorado,Fall,8.383410991636799,13.568637992831542,2.344695340501792
Fresno,Winter,6.882324315778153,12.37283788544912,2.1041974448120166
Fresno,Spring,9.798518518518518,16.066947431302268,4.262831541218638
Fresno,Summer,10.076338112305855,16.534330943847074,4.876117084826762
Fresno,Fall,7.2508004778972515,12.517132616487455,2.522037037037037
Glenn,Winter,10.333635938279988,17.768415403037206,3.702677718709421
Glenn,Spring,11.140991636798088,19.671278375149342,3.7026105137395455
Glenn,Summer,9.161523297491039,17.07488649940263,2.5947013142174433
Glenn,Fall,9.389486260454001,16.419826762246117,3.103817204301075
Humboldt,Winter,7.978569241597607,14.080470444152313,3.1254845049895104
Humboldt,Spring,7.5457945041816,13.600215053763442,2.214856630824373
Humboldt,Summer,5.789940262843489,10.873297491039427,1.3452031063321386
Humboldt,Fall,5.888309438470729,11.397389486260455,1.6978912783751494
Imperial,Winter,8.289769236140204,14.458414371748631,2.724624181590255
Imperial,Spring,12.824044205495818,21.7765770609319,5.226487455197133
Imperial,Summer,10.074127837514935,19.18991636798088,3.0766248506571086
Imperial,Fall,8.601923536439665,15.236200716845879,2.943679808841099
Inyo,Winter,3.216613176095935,6.30985299924399,0.9115941113021202
Inyo,Spring,4.208620071684588,8.032449223416966,1.0461768219832737
Inyo,Summer,4.704324970131421,9.361541218637992,0.9666845878136202
Inyo,Fall,3.8547550776583037,7.723763440860215,0.9662246117084826
Kern,Winter,6.13130235695586,12.068281796994254,1.4870991818711508
Kern,Spring,8.438034647550776,16.72369772998805,2.2121445639187574
Kern,Summer,8.648823178016727,16.901714456391876,2.4369115890083632
Kern,Fall,6.288321385902031,12.47647550776583,1.5044026284348864
Kings,Winter,6.413622599746071,11.692676506845027,1.888060306706024
Kings,Spring,8.431720430107527,14.98436081242533,2.9939187574671444
Kings,Summer,8.132335722819594,15.080083632019116,2.802747909199522
Kings,Fall,6.791236559139786,12.105197132616489,2.1039486260454
Lake,Winter,7.3458124467301325,12.955366532799793,2.639844355681397
Lake,Spring,8.670967741935485,15.713954599761053,2.6617204301075272
Lake,Summer,8.169665471923537,16.617198327359617,1.8808602150537637
Lake,Fall,7.0435065710872165,13.198697729988051,2.268046594982079
Lassen,Winter,8.869722149991894,14.432080076949376,3.9690964347110063
Lassen,Spring,10.255436081242532,17.44403823178017,4.1638231780167265
Lassen,Summer,9.426403823178017,18.98877538829152,2.707664277180406
Lassen,Fall,8.953775388291517,15.975059737156512,3.4425985663082437
Los Angeles,Winter,6.88040641999207,13.508986556330829,1.8884775772984892
Los Angeles,Spring,8.606224611708482,18.336242532855437,2.2435244922341697
Los Angeles,Summer,8.36094982078853,17.897383512544803,1.8972043010752688
Los Angeles,Fall,6.95110513739546,15.425501792114694,1.5561768219832737
Madera,Winter,6.760210539367936,12.103527588775087,2.151572193410347
Madera,Spring,8.321750298685782,14.109247311827957,2.721463560334528
Madera,Summer,8.19989844683393,14.253482676224612,2.1449044205495817
Madera,Fall,6.782885304659498,11.732712066905615,2.138763440860215
Marin,Winter,9.683786699025854,15.503647832207342,4.203110739526201
Marin,Spring,11.267927120669055,17.22642174432497,5.4430406212664275
