county_name,county_fips,season,TAVG,TMAX,TMIN,PRCP
Alameda,FIPS:06001,Winter,51.02902673796791,59.44210160427808,42.60738502673797,92.82584211032194
Alameda,FIPS:06001,Spring,57.44525757575758,67.47348484848484,47.41468181818182,35.18719176413256
Alameda,FIPS:06001,Summer,68.8949090909091,80.25809090909091,57.535,0.5467962610145273
Alameda,FIPS:06001,Fall,63.3290505050505,73.75416161616161,52.87749494949495,25.647246100156963
Alpine,FIPS:06003,Winter,29.303176470588234,40.14764705882353,18.464000000000002,151.9640522875817
Alpine,FIPS:06003,Spring,37.644,49.61,25.694,80.01111111111112
Alpine,FIPS:06003,Summer,59.687,73.52677777777778,45.843333333333334,18.35185185185185
Alpine,FIPS:06003,Fall,45.42333333333333,57.544,33.29577777777778,57.28703703703704
Amador,FIPS:06005,Winter,46.61176470588235,54.5264705882353,38.739411764705885,151.9972549019608
Amador,FIPS:06005,Spring,54.468333333333334,64.53,44.405,83.15970899470899
Amador,FIPS:06005,Summer,76.81833333333333,88.88999999999999,64.765,1.486851851851852
Amador,FIPS:06005,Fall,63.57833333333333,73.63666666666667,53.505,52.76801587301587
Butte,FIPS:06007,Winter,47.942743697478996,55.933306722689075,39.944894957983195,132.28990344622696
Butte,FIPS:06007,Spring,57.72498809523809,68.26817857142858,47.17041666666667,58.44166045374378
Butte,FIPS:06007,Summer,77.45638095238095,90.7447619047619,64.15936904761905,2.91835277376944
Butte,FIPS:06007,Fall,63.43757142857143,74.11557142857143,52.797714285714285,59.002931096681095
Calaveras,FIPS:06009,Winter,45.71857142857143,54.97571428571429,36.47428571428571,137.4127450980392
Calaveras,FIPS:06009,Spring,54.980000000000004,67.352,42.584,78.12953703703704
Calaveras,FIPS:06009,Summer,73.94,90.03411764705882,57.83529411764706,1.370648148148148
Calaveras,FIPS:06009,Fall,61.784705882352945,74.92470588235294,48.64470588235294,46.950462962962966
Colusa,FIPS:06011,Winter,46.44235294117647,58.97352941176471,34.059411764705885,61.9
Colusa,FIPS:06011,Spring,57.695,74.055,42.275,23.033333333333335
Colusa,FIPS:06011,Summer,76.07000000000001,95.14500000000001,56.82,0.8222222222222222
Colusa,FIPS:06011,Fall,61.88,78.545,45.135,24.5625
Contra Costa,FIPS:06013,Winter,49.78327731092437,56.29079831932773,43.28,99.29908982597564
Contra Costa,FIPS:06013,Spring,56.56626984126984,66.14355158730159,46.97029761904762,35.87183831011037
Contra Costa,FIPS:06013,Summer,70.75,82.43248015873016,59.07111111111111,0.305185813641696
Contra Costa,FIPS:06013,Fall,63.48863095238095,72.40744047619047,54.57642857142857,29.45424077964519
Del Norte,FIPS:06015,Winter,43.235882352941175,49.470588235294116,36.96235294117647,303.55170252949665
Del Norte,FIPS:06015,Spring,46.461666666666666,53.788333333333334,39.126666666666665,156.60856421356422
Del Norte,FIPS:06015,Summer,62.58166666666666,70.29166666666667,54.865,22.594197530864196
Del Norte,FIPS:06015,Fall,53.663333333333334,60.46333333333333,46.86666666666667,133.64952601410934
El Dorado,FIPS:06017,Winter,36.38821513780337,46.022056766762645,26.74085191279309,152.2702612138767
El Dorado,FIPS:06017,Spring,44.706307525807524,56.34156093906094,32.92377122877123,81.13326884671248
El Dorado,FIPS:06017,Summer,65.77986247086247,80.26368298368298,51.15181701631702,6.142039849078033
El Dorado,FIPS:06017,Fall,51.85500233100233,64.09641025641025,39.70566317016317,58.41851452989353
Fresno,FIPS:06019,Winter,45.23021754715872,55.385604072398195,35.106611506140915,53.03139185977421
Fresno,FIPS:06019,Spring,54.840058150183154,67.05418772893772,42.62511584249084,32.65464646464646
Fresno,FIPS:06019,Summer,75.59328520254256,90.00383982439129,61.18883740034475,0.8066481049814384
Fresno,FIPS:06019,Fall,60.93209488795519,73.10871043417367,48.767547969187675,16.305296879046878
Glenn,FIPS:06021,Winter,48.318588235294115,58.159294117647065,38.48635294117647,75.09803921568628
Glenn,FIPS:06021,Spring,58.926,71.81649999999999,46.028999999999996,27.81851851851852
Glenn,FIPS:06021,Summer,78.0625,93.28150000000001,62.84883333333333,1.3392156862745097
Glenn,FIPS:06021,Fall,63.713,76.464,50.983000000000004,30.29375
Humboldt,FIPS:06023,Winter,46.212363636363634,53.34977540106952,39.082181818181816,222.89500741454648
Humboldt,FIPS:06023,Spring,51.76709090909091,61.627545454545455,41.89636363636364,113.21806337034847
Humboldt,FIPS:06023,Summer,66.42978787878788,78.60550505050506,54.25787878787879,11.459579280113962
Humboldt,FIPS:06023,Fall,57.871868686868694,67.85373737373737,47.88080808080808,92.34447835878308
Imperial,FIPS:06025,Winter,59.799663865546215,72.29006302521009,47.31310924369748,4.748823529411765
Imperial,FIPS:06025,Spring,73.45303571428572,87.4205357142857,59.47125,3.626944444444444
Imperial,FIPS:06025,Summer,94.07303571428572,107.80202380952382,80.2942857142857,2.275185185185185
Imperial,FIPS:06025,Fall,78.67439285714286,91.77990476190476,65.53792857142858,5.55824074074074
Inyo,FIPS:06027,Winter,45.6659243697479,56.993256302521004,34.33989495798319,23.48425770308123
Inyo,FIPS:06027,Spring,60.33355158730159,73.18795634920635,47.48043650793651,6.56047619047619
Inyo,FIPS:06027,Summer,83.05188492063492,96.93589285714286,69.16996031746032,7.598531746031747
Inyo,FIPS:06027,Fall,64.45200396825398,77.26069444444444,51.640277777777776,7.904351851851852
Kern,FIPS:06029,Winter,47.787569900687544,58.67447135217723,36.90784950343774,30.789249055442824
Kern,FIPS:06029,Spring,59.55378282828282,71.93929256854258,47.17840800865801,22.39225653431536
